steps,rollout,mean_return,mean_episode_length,policy_loss,value_loss,entropy,sr_loss,grad_norm
256,1,0.0,0.0,0.077499,1.767115,1.098573,0.039738,1.98031
512,2,0.0,0.0,0.098256,3.053639,1.098584,0.037755,2.52339
768,3,27.0,550.0,0.100257,2.76896,1.098589,0.038143,2.459328
1024,4,27.0,550.0,0.087976,2.537823,1.09859,0.039224,2.292941
1280,5,29.0,550.0,0.06951,1.611623,1.098595,0.038241,1.806604
1536,6,29.0,550.0,0.072065,1.629895,1.098597,0.038079,1.895754
1792,7,28.0,550.0,0.058712,1.205351,1.0986,0.037185,1.479154
2048,8,28.0,550.0,0.082745,2.355793,1.0986,0.040208,2.256252
2304,9,28.0,550.0,0.08656,2.541591,1.098603,0.03823,2.365616
2560,10,28.0,550.0,0.057519,1.381947,1.098604,0.038662,1.621703
2816,11,26.4,550.0,0.035014,0.689364,1.098605,0.039537,0.932272
3072,12,26.4,550.0,0.024215,0.390199,1.098605,0.040808,0.719133
3328,13,25.0,550.0,0.045189,0.824359,1.098604,0.038137,1.347603
3584,14,25.0,550.0,0.063066,1.285875,1.098604,0.039028,1.882286
3840,15,25.0,550.0,0.063853,1.535538,1.098604,0.040641,2.067326
4096,16,25.4286,550.0,0.078854,2.07138,1.098604,0.040322,2.609548
4352,17,25.4286,550.0,0.039009,0.748975,1.098604,0.041825,1.381386
4608,18,25.5,550.0,0.043288,0.84382,1.098604,0.040753,1.492427
4864,19,25.5,550.0,0.027035,0.384646,1.098603,0.040398,1.044388
5120,20,25.1111,550.0,0.001315,0.168979,1.098601,0.041447,0.035566
5376,21,25.1111,550.0,0.018148,0.452659,1.098598,0.04066,0.783474
5632,22,24.5,550.0,0.01339,0.237833,1.098591,0.040981,0.542799
5888,23,24.5,550.0,0.006737,0.549806,1.098576,0.04354,0.298212
6144,24,23.9091,550.0,-0.020493,0.379141,1.098563,0.042729,1.163912
6400,25,23.9091,550.0,-0.003488,0.253324,1.098542,0.044665,0.180653
6656,26,23.6667,550.0,0.011561,0.215275,1.098521,0.04254,0.611834
6912,27,23.6667,550.0,-0.010115,0.364922,1.098484,0.045435,0.647854
7168,28,23.7692,550.0,0.015942,0.39072,1.098436,0.044632,0.919523
7424,29,23.7692,550.0,0.002986,0.351443,1.098382,0.045609,0.136802
7680,30,23.7692,550.0,0.035089,0.591783,1.098346,0.044359,2.336039
7936,31,24.4286,550.0,0.008631,0.446075,1.098316,0.042428,0.456047
8192,32,24.4286,550.0,0.017385,0.411314,1.098201,0.04479,1.229582
8448,33,24.8667,550.0,-0.02964,0.8629,1.098108,0.044396,2.429071
8704,34,24.8667,550.0,-0.021448,0.505163,1.098014,0.044345,1.696174
8960,35,24.8125,550.0,-0.02219,1.089366,1.097942,0.045568,1.845968
9216,36,24.8125,550.0,-0.033425,0.681232,1.097886,0.044368,2.689305
