steps,rollout,mean_return,mean_episode_length,policy_loss,value_loss,entropy,sr_loss,reward_pred_loss,memory_loss,grad_norm
256,1,0.0,0.0,0.075599,3.053261,1.098519,0.030042,0.064453,0.692877,0.440917
512,2,0.0,0.0,0.066552,2.127804,1.098476,0.030078,0.057611,0.694847,0.366263
768,3,18.5,550.0,0.087476,1.952987,1.0984,0.030079,0.064482,0.691594,0.480521
1024,4,18.5,550.0,0.099448,2.199015,1.098308,0.030117,0.070341,0.693323,0.532334
1280,5,23.5,550.0,0.159534,2.810863,1.098195,0.030079,0.072317,0.693159,0.645673
1536,6,23.5,550.0,0.10429,2.183826,1.098043,0.030119,0.061565,0.691867,0.47865
1792,7,23.8333,550.0,0.244464,5.037884,1.097872,0.030254,0.0852,0.692028,1.082046
2048,8,23.8333,550.0,0.085577,3.216067,1.097658,0.030258,0.069446,0.69155,0.672206
2304,9,24.0,550.0,0.074283,1.416293,1.097425,0.030298,0.060611,0.691112,0.393194
2560,10,24.0,550.0,0.247141,5.746076,1.097136,0.030454,0.081334,0.691193,1.354079
2816,11,25.3,550.0,0.067848,1.53046,1.096825,0.030557,0.061557,0.691074,0.54413
3072,12,25.3,550.0,0.094577,2.115273,1.096435,0.030674,0.065555,0.690631,0.726368
3328,13,24.5,550.0,0.115954,2.666118,1.096004,0.030747,0.064678,0.689644,0.983097
3584,14,24.5,550.0,0.018155,0.975845,1.095462,0.030956,0.053757,0.689641,0.52817
3840,15,24.5,550.0,0.040446,2.286648,1.094908,0.03116,0.058541,0.691133,0.659642
4096,16,22.7857,550.0,0.149412,4.665498,1.094259,0.031239,0.076592,0.689087,1.757804
4352,17,22.7857,550.0,0.045482,1.207665,1.093406,0.031451,0.053649,0.689781,0.476386
4608,18,23.0,550.0,0.183689,1.853217,1.092474,0.031742,0.069793,0.688578,1.357031
4864,19,23.0,550.0,0.111747,2.78501,1.091237,0.03189,0.069601,0.689335,1.680304
5120,20,23.3889,550.0,0.074529,3.361564,1.089831,0.032146,0.064837,0.687283,1.453336
5376,21,23.3889,550.0,-0.084173,0.517502,1.087857,0.032332,0.041925,0.686988,0.321077
5632,22,22.1,550.0,0.062868,4.176725,1.086737,0.032708,0.073759,0.688015,2.542669
5888,23,22.1,550.0,0.180043,4.118216,1.084872,0.032722,0.077938,0.687093,3.290286
6144,24,22.5,550.0,0.112935,1.980071,1.08299,0.033141,0.068637,0.691118,1.851322
6400,25,22.5,550.0,0.109064,3.845046,1.079822,0.033258,0.073729,0.688782,3.412179
6656,26,23.5,550.0,0.094511,3.103939,1.076604,0.033772,0.077885,0.686252,3.348089
6912,27,23.5,550.0,0.175783,3.735919,1.071314,0.033755,0.074033,0.68745,4.718996
7168,28,23.8846,550.0,0.168017,2.38056,1.06559,0.034674,0.072889,0.684734,3.843465
7424,29,23.8846,550.0,0.137518,2.225552,1.056033,0.034577,0.071043,0.685194,4.374971
7680,30,23.8846,550.0,0.119925,3.53312,1.044503,0.03498,0.073789,0.695975,6.206438
7936,31,24.2143,550.0,0.057374,0.851335,1.031641,0.036545,0.060653,0.686554,2.128529
8192,32,24.2143,550.0,0.120866,3.117984,1.01078,0.035997,0.07396,0.702815,5.797573
8448,33,24.6333,550.0,0.161834,2.869652,0.993688,0.038955,0.086183,0.687908,7.913998
8704,34,24.6333,550.0,0.073316,2.054739,0.967787,0.037041,0.070045,0.692263,5.45667
8960,35,24.875,550.0,0.028229,1.213469,0.951892,0.041402,0.056863,0.68021,1.387663
