steps,rollout,mean_return,mean_episode_length,policy_loss,value_loss,entropy,sr_loss,grad_norm
256,1,0.0,0.0,-0.434876,0.167056,1.098612,0.027227,0.835855
512,2,0.0,0.0,-0.419042,0.155507,1.098611,0.025496,0.803875
768,3,0.0,0.0,-0.165469,0.134054,1.098611,0.027608,0.346289
1024,4,0.0,0.0,-0.334828,0.10071,1.098611,0.027421,0.659948
1280,5,0.0,0.0,-0.304061,0.084099,1.098609,0.025535,0.596124
1536,6,0.0,0.0,-0.247848,0.07797,1.098607,0.023647,0.486736
1792,7,0.0,0.0,-0.267543,0.064149,1.098607,0.023307,0.515387
2048,8,0.0,0.0,-0.17553,0.027299,1.098603,0.027654,0.366327
2304,9,0.0,0.0,-0.166433,0.02473,1.098603,0.024081,0.334257
2560,10,0.0,0.0,-0.127163,0.015221,1.0986,0.025086,0.264915
2816,11,0.0,0.0,-0.107776,0.011278,1.098598,0.023396,0.225195
3072,12,0.0,0.0,-0.073608,0.006414,1.098593,0.023587,0.162654
3328,13,0.0,0.0,0.15728,0.063287,1.098587,0.027252,0.346241
3584,14,0.0,0.0,0.139954,0.059055,1.098582,0.024394,0.297468
3840,15,0.0,0.0,0.272259,0.153861,1.098577,0.023151,0.55934
4096,16,0.0,0.0,0.008416,0.002481,1.098575,0.023492,0.073816
4352,17,0.0,0.0,0.041633,0.002263,1.098569,0.024991,0.118846
4608,18,0.0,0.0,0.04069,0.002923,1.098571,0.024327,0.114985
4864,19,0.0,0.0,0.16928,0.063852,1.098573,0.022083,0.353091
5120,20,0.0,0.0,0.051028,0.003305,1.098567,0.023594,0.130107
5376,21,0.0,0.0,0.048922,0.003378,1.098559,0.024684,0.129774
5632,22,0.0,0.0,0.164667,0.068803,1.098562,0.023193,0.349688
5888,23,0.0,0.0,0.044561,0.004509,1.098555,0.02517,0.125147
6144,24,0.0,0.0,0.071432,0.005707,1.098549,0.025207,0.172004
6400,25,0.0,0.0,0.322362,0.176036,1.098546,0.022995,0.668264
6656,26,0.0,0.0,0.017276,0.002047,1.098539,0.023916,0.081564
6912,27,0.0,0.0,-0.016618,0.002373,1.09854,0.021989,0.078856
7168,28,0.0,0.0,0.180235,0.095117,1.09853,0.023908,0.373697
7424,29,0.0,0.0,0.072453,0.048741,1.098533,0.020817,0.145506
7680,30,0.0,0.0,0.072927,0.06385,1.098531,0.021962,0.166377
7936,31,0.0,0.0,0.00646,0.036595,1.09852,0.022331,0.076057
8192,32,0.0,0.0,-0.063771,0.004268,1.098516,0.024377,0.165
8448,33,0.0,0.0,0.043242,0.047205,1.098517,0.02245,0.105863
8704,34,0.0,0.0,-0.118159,0.013781,1.098508,0.020705,0.250532
8960,35,0.0,0.0,-0.141171,0.019022,1.098502,0.019127,0.290723
9216,36,0.0,0.0,-0.085384,0.007686,1.098475,0.023865,0.208439
9472,37,0.0,0.0,0.02973,0.046386,1.098449,0.023145,0.093501
9728,38,0.0,0.0,-0.143648,0.020217,1.098451,0.019551,0.302423
9984,39,0.0,0.0,-0.118389,0.013228,1.098423,0.019887,0.260968
10240,40,-147.99,10000.0,-0.080118,0.016911,1.098401,0.020741,0.19455
10496,41,-147.99,10000.0,-0.092725,0.008312,1.098374,0.020461,0.219118
10752,42,-147.99,10000.0,-0.04188,0.00849,1.098316,0.02273,0.146982
11008,43,-147.99,10000.0,-0.037398,0.002277,1.098293,0.020454,0.124314
11264,44,-147.99,10000.0,-0.064898,0.004545,1.09826,0.019677,0.173835
11520,45,-147.99,10000.0,-0.024403,0.00127,1.098175,0.021681,0.119459
11776,46,-147.99,10000.0,0.006172,0.00237,1.098162,0.019747,0.081063
12032,47,-147.99,10000.0,0.022651,0.002328,1.098084,0.021018,0.095725
12288,48,-147.99,10000.0,0.027649,0.004703,1.098056,0.019766,0.098497
12544,49,-147.99,10000.0,0.12825,0.061702,1.097981,0.019692,0.278525
12800,50,-147.99,10000.0,0.046383,0.00622,1.097907,0.020028,0.13076
13056,51,-147.99,10000.0,0.099646,0.010228,1.097799,0.02214,0.24252
13312,52,-147.99,10000.0,0.070556,0.00545,1.097755,0.020195,0.177271
13568,53,-147.99,10000.0,0.041604,0.002328,1.097792,0.017796,0.115478
13824,54,-147.99,10000.0,0.070207,0.005746,1.097726,0.01981,0.180208
14080,55,-147.99,10000.0,0.090781,0.009831,1.097697,0.019809,0.231458
14336,56,-147.99,10000.0,0.087689,0.007985,1.097575,0.020813,0.233676
14592,57,-147.99,10000.0,0.247947,0.104456,1.097606,0.019895,0.637871
14848,58,-147.99,10000.0,0.051241,0.003626,1.097626,0.018679,0.153846
15104,59,-147.99,10000.0,0.043036,0.003614,1.097533,0.019534,0.153292
15360,60,-147.99,10000.0,0.13448,0.053466,1.097641,0.016961,0.320764
15616,61,-147.99,10000.0,0.1263,0.055526,1.097529,0.017823,0.31145
15872,62,-147.99,10000.0,-0.020839,0.001638,1.097448,0.01852,0.17431
16128,63,-147.99,10000.0,-0.035673,0.001653,1.097414,0.018589,0.207686
16384,64,-147.99,10000.0,0.093697,0.050122,1.097262,0.019634,0.281176
16640,65,-147.99,10000.0,0.090698,0.054389,1.097352,0.017167,0.274754
16896,66,-147.99,10000.0,-0.087478,0.007393,1.097242,0.017063,0.348795
17152,67,-147.99,10000.0,-0.002983,0.04166,1.097073,0.017292,0.199559
17408,68,-147.99,10000.0,-0.092395,0.009682,1.096974,0.015872,0.370674
17664,69,-147.99,10000.0,0.003058,0.044919,1.096884,0.015796,0.191397
17920,70,-147.99,10000.0,-0.055012,0.003273,1.096763,0.016128,0.322509
18176,71,-147.99,10000.0,-0.033698,0.001987,1.09662,0.017186,0.304583
18432,72,-147.99,10000.0,0.14749,0.070607,1.096522,0.017402,0.620929
18688,73,-147.99,10000.0,0.027096,0.00271,1.096761,0.015382,0.238742
18944,74,-147.99,10000.0,0.09166,0.0239,1.096748,0.016591,0.465687
19200,75,-147.99,10000.0,0.311491,0.15217,1.097178,0.015109,1.559482
19456,76,-147.99,10000.0,0.063749,0.004526,1.097407,0.013574,0.357477
19712,77,-147.99,10000.0,0.086227,0.007112,1.097279,0.0147,0.50744
19968,78,-147.99,10000.0,0.046962,0.002743,1.097274,0.013483,0.309561
20224,79,-150.075,10000.0,0.044328,0.021091,1.097117,0.024538,0.330443
20480,80,-150.075,10000.0,-0.007399,0.020664,1.096957,0.013369,0.218372
20736,81,-150.075,10000.0,0.096547,0.055515,1.096819,0.013694,0.630863
20992,82,-150.075,10000.0,-0.083922,0.006446,1.096596,0.013376,0.623507
21248,83,-150.075,10000.0,0.019774,0.054448,1.09635,0.012229,0.188708
21504,84,-150.075,10000.0,0.014204,0.050166,1.096146,0.012801,0.184451
21760,85,-150.075,10000.0,-0.17237,0.026778,1.096161,0.010986,1.243884
22016,86,-150.075,10000.0,-0.134329,0.016448,1.09572,0.011689,1.011906
22272,87,-150.075,10000.0,0.03337,0.046847,1.094947,0.011477,0.263358
22528,88,-150.075,10000.0,-0.039233,0.001943,1.09458,0.011847,0.343663
22784,89,-150.075,10000.0,-0.019762,0.001244,1.094722,0.011683,0.213175
23040,90,-150.075,10000.0,0.252046,0.142576,1.094882,0.010735,1.982492
23296,91,-150.075,10000.0,0.18075,0.075546,1.095031,0.011062,1.445992
23552,92,-150.075,10000.0,0.056862,0.0034,1.095321,0.011465,0.471754
23808,93,-150.075,10000.0,-0.015444,0.00091,1.0954,0.011035,0.171355
24064,94,-150.075,10000.0,0.143855,0.057231,1.095384,0.011515,1.181165
24320,95,-150.075,10000.0,0.109168,0.055316,1.095126,0.011395,0.90912
24576,96,-150.075,10000.0,0.036651,0.052251,1.094761,0.011105,0.315659
24832,97,-150.075,10000.0,0.10478,0.078945,1.094468,0.010657,0.881263
25088,98,-150.075,10000.0,-0.241684,0.052399,1.093872,0.010776,2.059293
25344,99,-150.075,10000.0,-0.279705,0.071599,1.093382,0.011323,2.403765
25600,100,-150.075,10000.0,-0.275447,0.097147,1.093136,0.010561,2.353009
25856,101,-150.075,10000.0,-0.19461,0.076092,1.092307,0.010208,1.672057
26112,102,-150.075,10000.0,-0.269208,0.06711,1.091254,0.010511,2.339058
26368,103,-150.075,10000.0,0.177168,0.10741,1.090653,0.010564,1.530997
26624,104,-150.075,10000.0,-0.086175,0.050975,1.090231,0.009927,0.754361
26880,105,-150.075,10000.0,-0.159224,0.023867,1.089965,0.010403,1.400506
27136,106,-150.075,10000.0,-0.107372,0.010811,1.089841,0.010587,0.959083
27392,107,-150.075,10000.0,-0.035776,0.018602,1.090113,0.009561,0.326423
27648,108,-150.075,10000.0,0.127633,0.074302,1.090642,0.009439,1.138494
27904,109,-150.075,10000.0,0.062432,0.004145,1.089986,0.010008,0.550364
28160,110,-150.075,10000.0,0.209874,0.08237,1.090149,0.009448,1.832014
28416,111,-150.075,10000.0,0.224802,0.088894,1.090907,0.009887,1.968703
28672,112,-150.075,10000.0,0.069427,0.00508,1.092115,0.009511,0.613022
28928,113,-150.075,10000.0,0.037101,0.001728,1.093182,0.009321,0.331943
29184,114,-150.075,10000.0,0.15023,0.067574,1.094074,0.009937,1.339452
29440,115,-150.075,10000.0,0.052512,0.05053,1.094236,0.009119,0.471906
29696,116,-150.075,10000.0,0.015824,0.041956,1.093886,0.009447,0.151465
29952,117,-150.075,10000.0,-0.054239,0.051179,1.093373,0.009389,0.489455
30208,118,-145.3867,10000.0,-0.03313,0.048717,1.092864,0.051404,0.255125
30464,119,-145.3867,10000.0,-0.258238,0.060054,1.091941,0.0096,2.299607
30720,120,-145.3867,10000.0,-0.150169,0.063806,1.09104,0.009612,1.356987
30976,121,-145.3867,10000.0,-0.278109,0.07247,1.090522,0.009494,2.553178
31232,122,-145.3867,10000.0,-0.117415,0.053088,1.091472,0.009092,1.05465
31488,123,-145.3867,10000.0,-0.187385,0.032382,1.092612,0.009427,1.676784
31744,124,-145.3867,10000.0,-0.077701,0.052663,1.093688,0.008933,0.704502
32000,125,-145.3867,10000.0,-0.078637,0.005671,1.095013,0.009194,0.717839
32256,126,-145.3867,10000.0,0.253084,0.145296,1.096374,0.00881,2.265099
32512,127,-145.3867,10000.0,0.30591,0.155662,1.097144,0.009031,2.718628
32768,128,-145.3867,10000.0,0.319578,0.158206,1.09765,0.008873,2.859304
33024,129,-145.3867,10000.0,0.10082,0.009456,1.097634,0.009458,0.900462
33280,130,-145.3867,10000.0,0.087675,0.006971,1.097632,0.008958,0.78302
33536,131,-145.3867,10000.0,0.218894,0.080219,1.097787,0.00906,1.949742
33792,132,-145.3867,10000.0,0.022377,0.001445,1.098014,0.00889,0.205856
34048,133,-145.3867,10000.0,0.108735,0.062345,1.098164,0.009116,0.978039
34304,134,-145.3867,10000.0,-0.083586,0.007229,1.097972,0.008664,0.74771
34560,135,-145.3867,10000.0,0.067685,0.04451,1.097616,0.009006,0.60335
34816,136,-145.3867,10000.0,0.011068,0.046437,1.097087,0.008814,0.109258
35072,137,-145.3867,10000.0,-0.01367,0.042376,1.09643,0.008779,0.1407
