steps,rollout,mean_return,mean_accuracy,mean_episode_length,policy_loss,value_loss,entropy,grad_norm
64,1,0.0,0.0,0.0,-0.0,0.005048,1.098611,0.091872
128,2,0.0,0.0,0.0,0.0,0.004124,1.098612,0.066926
192,3,0.0,0.0,0.0,-0.0,0.003111,1.098611,0.052906
256,4,0.0,0.0,0.0,-0.0,0.007325,1.098612,0.18267
320,5,0.0,0.0,0.0,-0.0,0.001384,1.098612,0.019467
384,6,0.0,0.0,0.0,0.0,0.002703,1.098612,0.073421
448,7,0.0,0.0,0.0,-0.0,0.275605,1.098612,0.79223
512,8,0.0,0.0,0.0,-0.0,0.001529,1.098612,0.034515
576,9,0.0,0.0,0.0,-0.0,0.00102,1.098612,0.029864
640,10,0.0,0.0,0.0,-0.0,0.069855,1.098612,0.214677
704,11,0.0,0.0,0.0,0.0,0.001747,1.098612,0.047233
768,12,0.0,0.0,0.0,-0.0,0.003082,1.098612,0.13278
832,13,0.0,0.0,0.0,0.0,0.00076,1.098612,0.027587
896,14,0.0,0.0,0.0,0.0,0.001349,1.098612,0.076568
960,15,0.0,0.0,0.0,0.0,0.004733,1.098612,0.171893
1024,16,0.0,0.0,0.0,0.0,0.002171,1.098612,0.108535
1088,17,0.0,0.0,0.0,-0.0,0.178915,1.098612,0.458654
1152,18,0.0,0.0,0.0,0.0,0.001295,1.098612,0.077797
1216,19,0.0,0.0,0.0,-0.0,0.003149,1.098612,0.126266
1280,20,0.0,0.0,0.0,0.0,0.000686,1.098612,0.044424
1344,21,0.0,0.0,0.0,0.0,0.00404,1.098612,0.153707
1408,22,0.0,0.0,0.0,0.0,0.001202,1.098612,0.066367
1472,23,0.0,0.0,0.0,-0.0,0.001216,1.098612,0.078534
1536,24,0.0,0.0,0.0,0.0,0.003035,1.098612,0.133842
1600,25,0.0,0.0,0.0,0.0,0.000646,1.098612,0.037479
1664,26,0.0,0.0,0.0,0.0,0.000756,1.098612,0.041012
1728,27,0.0,0.0,0.0,0.0,0.001275,1.098612,0.079666
1792,28,0.0,0.0,0.0,-0.0,0.000392,1.098612,0.011953
1856,29,0.0,0.0,0.0,0.0,0.000577,1.098612,0.02888
1920,30,0.0,0.0,0.0,0.0,0.000588,1.098612,0.032353
1984,31,0.0,0.0,0.0,0.0,0.00042,1.098612,0.016409
2048,32,0.0,0.0,0.0,-0.0,0.000527,1.098612,0.037081
2112,33,0.0,0.0,0.0,-0.0,0.000554,1.098612,0.031441
2176,34,0.0,0.0,0.0,-0.0,0.000236,1.098612,0.006129
2240,35,0.0,0.0,0.0,0.0,0.000415,1.098612,0.038672
2304,36,0.0,0.0,0.0,0.0,0.000276,1.098612,0.020631
2368,37,0.0,0.0,0.0,0.0,0.001,1.098612,0.078236
2432,38,0.0,0.0,0.0,0.0,0.412408,1.098612,1.357895
2496,39,0.0,0.0,0.0,-0.0,0.000268,1.098612,0.026464
2560,40,0.0,0.0,0.0,-0.0,0.000996,1.098612,0.064228
2624,41,0.0,0.0,0.0,-0.0,0.000353,1.098612,0.027217
2688,42,0.0,0.0,0.0,0.0,0.000421,1.098612,0.044348
2752,43,0.0,0.0,0.0,0.0,0.0007,1.098612,0.060511
2816,44,0.0,0.0,0.0,-0.0,0.000747,1.098612,0.057699
2880,45,0.0,0.0,0.0,-0.0,0.00011,1.098612,0.007423
2944,46,0.0,0.0,0.0,-0.0,0.000249,1.098612,0.035989
