steps,rollout,mean_return,mean_accuracy,mean_episode_length,policy_loss,value_loss,entropy,grad_norm
256,1,0.0,0.0,0.0,-0.0,0.223163,1.098612,1.232592
512,2,0.0,0.0,0.0,0.0,0.579288,1.098611,2.205167
768,3,0.0,0.0,0.0,0.0,0.026994,1.098612,0.427196
1024,4,0.0,0.0,0.0,-0.0,0.012029,1.098612,0.173041
1280,5,0.0,0.0,0.0,-0.0,0.010857,1.098612,0.149601
1536,6,0.0,0.0,0.0,0.0,0.015768,1.098612,0.271135
1792,7,0.0,0.0,0.0,0.0,0.142133,1.098612,0.49401
2048,8,0.0,0.0,0.0,0.0,0.110441,1.098612,0.303186
2304,9,0.0,0.0,0.0,-0.0,0.02967,1.098612,0.479016
2560,10,0.0,0.0,0.0,-0.0,0.14151,1.098612,0.754693
2816,11,0.0,0.0,0.0,0.0,0.034637,1.098612,0.536842
3072,12,0.0,0.0,0.0,-0.0,0.0343,1.098612,0.515215
3328,13,0.0,0.0,0.0,0.0,0.027856,1.098612,0.46807
3584,14,0.0,0.0,0.0,0.0,0.013998,1.098612,0.288874
3840,15,0.0,0.0,0.0,-0.0,0.017692,1.098612,0.369925
4096,16,0.0,0.0,0.0,0.0,0.010361,1.098612,0.249722
4352,17,0.0,0.0,0.0,-0.0,0.007551,1.098612,0.090681
4608,18,0.0,0.0,0.0,0.0,0.004848,1.098612,0.139975
4864,19,0.0,0.0,0.0,0.0,0.003861,1.098612,0.122553
5120,20,0.0,0.0,0.0,0.0,0.009454,1.098612,0.224566
5376,21,0.0,0.0,0.0,-0.0,0.003616,1.098612,0.112969
5632,22,0.0,0.0,0.0,-0.0,0.00476,1.098612,0.129871
5888,23,0.0,0.0,0.0,0.0,0.002008,1.098612,0.022115
6144,24,0.0,0.0,0.0,0.0,0.004056,1.098612,0.135765
6400,25,0.0,0.0,0.0,0.0,0.002077,1.098612,0.037225
6656,26,0.0,0.0,0.0,-0.0,0.002,1.098612,0.061013
6912,27,0.0,0.0,0.0,-0.0,0.001226,1.098612,0.022895
7168,28,0.0,0.0,0.0,0.0,0.002258,1.098612,0.096915
7424,29,0.0,0.0,0.0,0.0,0.002414,1.098612,0.08232
7680,30,0.0,0.0,0.0,-0.0,0.189935,1.098612,0.943344
7936,31,0.0,0.0,0.0,0.0,0.001187,1.098612,0.038643
8192,32,0.0,0.0,0.0,0.0,0.000885,1.098612,0.028713
8448,33,0.0,0.0,0.0,-0.0,0.000905,1.098612,0.019659
8704,34,0.0,0.0,0.0,0.0,0.003644,1.098612,0.129358
8960,35,0.0,0.0,0.0,0.0,0.000911,1.098612,0.039098
9216,36,0.0,0.0,0.0,0.0,0.001396,1.098612,0.046557
9472,37,0.0,0.0,0.0,-0.0,0.000629,1.098612,0.008421
9728,38,0.0,0.0,0.0,-0.0,0.001581,1.098612,0.03037
9984,39,0.0,0.0,0.0,-0.0,0.001213,1.098612,0.069953
10240,40,8.0,0.3333,10000.0,-0.0,0.235419,1.098612,1.002929
10496,41,8.0,0.3333,10000.0,-0.0,0.000616,1.098612,0.02891
10752,42,8.0,0.3333,10000.0,0.0,0.000508,1.098612,0.022491
11008,43,8.0,0.3333,10000.0,0.0,0.169351,1.098612,0.760294
11264,44,8.0,0.3333,10000.0,-0.0,0.002333,1.098612,0.126368
11520,45,8.0,0.3333,10000.0,-0.0,0.001182,1.098612,0.07833
11776,46,8.0,0.3333,10000.0,-0.0,0.000565,1.098612,0.040917
12032,47,8.0,0.3333,10000.0,0.0,0.003476,1.098612,0.154336
12288,48,8.0,0.3333,10000.0,-0.0,0.0021,1.098612,0.112661
12544,49,8.0,0.3333,10000.0,0.0,0.000991,1.098612,0.075297
12800,50,8.0,0.3333,10000.0,0.0,0.003903,1.098612,0.152905
13056,51,8.0,0.3333,10000.0,0.0,0.191733,1.098612,0.955696
13312,52,8.0,0.3333,10000.0,0.0,0.000323,1.098612,0.011269
13568,53,8.0,0.3333,10000.0,-0.0,0.191122,1.098612,0.90659
13824,54,8.0,0.3333,10000.0,0.0,0.003581,1.098612,0.111094
14080,55,8.0,0.3333,10000.0,0.0,0.006036,1.098612,0.205994
14336,56,8.0,0.3333,10000.0,-0.0,0.130027,1.098612,0.358171
