steps,rollout,mean_return,mean_accuracy,mean_episode_length,policy_loss,value_loss,entropy,grad_norm
256,1,0.0,0.0,0.0,1.795413,0.012941,1.09861,0.321526
512,2,0.0,0.0,0.0,1.878594,0.011159,1.098612,0.353762
768,3,0.0,0.0,0.0,1.37989,0.005637,1.098608,0.179033
1024,4,0.0,0.0,0.0,0.664499,0.118384,1.098602,0.511226
1280,5,0.0,0.0,0.0,0.858683,0.169945,1.098594,0.735391
1536,6,0.0,0.0,0.0,-0.49249,0.002085,1.098583,0.078601
1792,7,0.0,0.0,0.0,-1.007123,0.005525,1.098572,0.164523
2048,8,0.0,0.0,0.0,-2.099048,0.008687,1.098567,0.294886
2304,9,0.0,0.0,0.0,0.917313,0.122279,1.098562,0.698672
2560,10,0.0,0.0,0.0,-1.695312,0.009143,1.098556,0.276974
2816,11,0.0,0.0,0.0,-1.936101,0.013694,1.098551,0.333116
3072,12,0.0,0.0,0.0,-1.742086,0.008397,1.098541,0.246347
3328,13,0.0,0.0,0.0,-2.058684,0.010373,1.098526,0.288254
3584,14,0.0,0.0,0.0,-1.829945,0.007428,1.098516,0.240065
3840,15,0.0,0.0,0.0,-2.046945,0.007446,1.098502,0.300847
4096,16,0.0,0.0,0.0,0.333182,0.115077,1.098501,0.293198
4352,17,0.0,0.0,0.0,-1.801403,0.006962,1.098501,0.230702
4608,18,0.0,0.0,0.0,0.48026,0.106449,1.098504,0.36822
4864,19,0.0,0.0,0.0,-2.632422,0.010042,1.098498,0.307018
5120,20,0.0,0.0,0.0,-1.164391,0.003571,1.098509,0.140249
5376,21,0.0,0.0,0.0,-0.957918,0.004695,1.098509,0.159698
5632,22,0.0,0.0,0.0,-2.311621,0.005358,1.098518,0.225073
5888,23,0.0,0.0,0.0,-1.904999,0.002959,1.098528,0.230898
6144,24,0.0,0.0,0.0,-2.031045,0.003791,1.098536,0.231712
6400,25,0.0,0.0,0.0,0.247981,0.081869,1.098529,0.171302
6656,26,0.0,0.0,0.0,-1.556188,0.003203,1.098525,0.165771
6912,27,0.0,0.0,0.0,-1.949343,0.004629,1.098518,0.245922
7168,28,0.0,0.0,0.0,-0.61343,0.000983,1.098514,0.078136
7424,29,0.0,0.0,0.0,0.334922,0.069937,1.098518,0.220568
7680,30,0.0,0.0,0.0,-0.988429,0.003217,1.098519,0.146489
7936,31,0.0,0.0,0.0,-0.025583,0.000734,1.098523,0.008215
8192,32,0.0,0.0,0.0,0.803591,0.157453,1.098516,0.640008
8448,33,0.0,0.0,0.0,1.197852,0.000819,1.098515,0.079379
8704,34,0.0,0.0,0.0,1.599456,0.309523,1.098514,1.258141
8960,35,0.0,0.0,0.0,-0.982011,0.002949,1.09851,0.166223
9216,36,0.0,0.0,0.0,0.308154,0.000349,1.098504,0.018557
9472,37,0.0,0.0,0.0,0.164988,0.000601,1.098498,0.025242
9728,38,0.0,0.0,0.0,0.277766,0.070996,1.098493,0.187833
9984,39,0.0,0.0,0.0,0.491959,0.11302,1.098502,0.369814
10240,40,12.0,0.6,10000.0,-1.843408,0.001209,1.098493,0.296547
10496,41,12.0,0.6,10000.0,0.651772,0.120248,1.098492,0.513475
10752,42,12.0,0.6,10000.0,1.145005,0.260649,1.098491,1.045013
11008,43,12.0,0.6,10000.0,-1.710379,0.005264,1.098497,0.23216
11264,44,12.0,0.6,10000.0,-2.121476,0.010948,1.098484,0.32509
11520,45,12.0,0.6,10000.0,-1.925381,0.010373,1.09849,0.259333
11776,46,12.0,0.6,10000.0,-3.182964,0.005131,1.098481,0.342099
12032,47,12.0,0.6,10000.0,-1.779549,0.008675,1.098462,0.266397
12288,48,12.0,0.6,10000.0,-1.634449,0.006021,1.098452,0.1949
12544,49,12.0,0.6,10000.0,-2.315868,0.007612,1.098436,0.248114
12800,50,12.0,0.6,10000.0,1.055276,0.162924,1.098425,0.771126
13056,51,12.0,0.6,10000.0,-2.053372,0.009185,1.0984,0.255536
13312,52,12.0,0.6,10000.0,-1.274008,0.006963,1.098379,0.220978
13568,53,12.0,0.6,10000.0,-0.289527,0.033288,1.098385,0.13421
13824,54,12.0,0.6,10000.0,-1.545074,0.010545,1.098382,0.236387
14080,55,12.0,0.6,10000.0,1.005349,0.130352,1.098372,0.66272
14336,56,12.0,0.6,10000.0,-0.999959,0.002552,1.098357,0.118594
14592,57,12.0,0.6,10000.0,-1.124234,0.007734,1.098357,0.18312
14848,58,12.0,0.6,10000.0,0.795391,0.352492,1.098337,0.980555
15104,59,12.0,0.6,10000.0,-1.969948,0.003375,1.098327,0.178658
15360,60,12.0,0.6,10000.0,-1.402372,0.002969,1.098334,0.144933
15616,61,12.0,0.6,10000.0,-1.531313,0.002281,1.09832,0.119435
15872,62,12.0,0.6,10000.0,1.202683,0.133541,1.098307,0.733561
16128,63,12.0,0.6,10000.0,-1.832481,0.007875,1.098282,0.216666
16384,64,12.0,0.6,10000.0,0.912861,0.117131,1.098272,0.616078
16640,65,12.0,0.6,10000.0,-2.671346,0.006304,1.098269,0.246487
16896,66,12.0,0.6,10000.0,-1.255933,0.002815,1.09825,0.115619
17152,67,12.0,0.6,10000.0,-1.629739,0.005459,1.098226,0.188883
17408,68,12.0,0.6,10000.0,-1.200621,0.00241,1.098249,0.11071
17664,69,12.0,0.6,10000.0,-2.148729,0.011242,1.098237,0.275955
17920,70,12.0,0.6,10000.0,-0.955537,0.001374,1.098223,0.126786
18176,71,12.0,0.6,10000.0,-1.492139,0.008438,1.098214,0.274105
18432,72,12.0,0.6,10000.0,-1.489293,0.002524,1.098218,0.119738
18688,73,12.0,0.6,10000.0,1.105674,0.123438,1.098203,0.688576
18944,74,12.0,0.6,10000.0,-1.547081,0.005807,1.098163,0.195924
19200,75,12.0,0.6,10000.0,-0.716188,0.000869,1.098221,0.064264
19456,76,12.0,0.6,10000.0,1.183255,0.163864,1.098232,0.814186
19712,77,12.0,0.6,10000.0,0.972408,0.130493,1.098194,0.66881
19968,78,12.0,0.6,10000.0,-0.787712,0.002623,1.098197,0.092061
20224,79,12.5,0.5321,10000.0,0.876005,0.162458,1.098187,0.710128
20480,80,12.5,0.5321,10000.0,-1.043453,0.00264,1.098156,0.158999
20736,81,12.5,0.5321,10000.0,0.76716,0.111185,1.098138,0.570452
20992,82,12.5,0.5321,10000.0,0.25203,0.085474,1.098217,0.191986
21248,83,12.5,0.5321,10000.0,-3.249231,0.010148,1.098203,0.308766
21504,84,12.5,0.5321,10000.0,-4.083683,0.009111,1.09821,0.461771
21760,85,12.5,0.5321,10000.0,0.777435,0.097264,1.0982,0.546722
22016,86,12.5,0.5321,10000.0,0.105956,0.087831,1.098246,0.076051
22272,87,12.5,0.5321,10000.0,0.140979,0.095089,1.098252,0.143889
22528,88,12.5,0.5321,10000.0,-0.17767,0.085935,1.098249,0.163375
22784,89,12.5,0.5321,10000.0,0.916467,0.091709,1.098277,0.56459
23040,90,12.5,0.5321,10000.0,-2.814889,0.046169,1.098268,0.636888
23296,91,12.5,0.5321,10000.0,0.00353,0.06645,1.098305,0.073156
23552,92,12.5,0.5321,10000.0,0.603368,0.081117,1.0983,0.400225
23808,93,12.5,0.5321,10000.0,-2.507416,0.020727,1.098326,0.423752
24064,94,12.5,0.5321,10000.0,0.720717,0.119522,1.098336,0.558103
24320,95,12.5,0.5321,10000.0,-0.821193,0.061368,1.098359,0.452366
24576,96,12.5,0.5321,10000.0,-2.870244,0.046169,1.098384,0.619612
24832,97,12.5,0.5321,10000.0,0.48287,0.090483,1.098392,0.364131
25088,98,12.5,0.5321,10000.0,-2.463047,0.048736,1.098382,0.646921
25344,99,12.5,0.5321,10000.0,-1.782057,0.024584,1.098415,0.432006
25600,100,12.5,0.5321,10000.0,-2.66228,0.047334,1.098427,0.611902
25856,101,12.5,0.5321,10000.0,0.709482,0.121654,1.098433,0.579459
26112,102,12.5,0.5321,10000.0,0.775125,0.088258,1.098458,0.510815
26368,103,12.5,0.5321,10000.0,-2.411407,0.045883,1.098461,0.587755
26624,104,12.5,0.5321,10000.0,-2.602956,0.021545,1.098484,0.426153
26880,105,12.5,0.5321,10000.0,-0.002186,0.051806,1.098499,0.062045
27136,106,12.5,0.5321,10000.0,-0.012991,0.061736,1.09851,0.036336
27392,107,12.5,0.5321,10000.0,-2.104258,0.016088,1.098513,0.381978
27648,108,12.5,0.5321,10000.0,-2.82566,0.008258,1.098512,0.288555
27904,109,12.5,0.5321,10000.0,-1.106502,0.010711,1.098517,0.223087
28160,110,12.5,0.5321,10000.0,-2.12216,0.009514,1.098513,0.325955
28416,111,12.5,0.5321,10000.0,0.905781,0.11403,1.098516,0.636733
28672,112,12.5,0.5321,10000.0,0.949743,0.126759,1.098526,0.657884
28928,113,12.5,0.5321,10000.0,-0.242829,0.034881,1.098535,0.11769
29184,114,12.5,0.5321,10000.0,0.723273,0.095909,1.098529,0.470527
29440,115,12.5,0.5321,10000.0,-1.386451,0.003752,1.098542,0.216273
29696,116,12.5,0.5321,10000.0,-1.042279,0.006357,1.098535,0.197642
29952,117,12.5,0.5321,10000.0,-2.253679,0.023147,1.098544,0.395278
30208,118,15.3333,0.539,10000.0,0.206441,0.104838,1.098533,0.194792
30464,119,15.3333,0.539,10000.0,-1.476824,0.006509,1.098528,0.195755
30720,120,15.3333,0.539,10000.0,-2.588216,0.006948,1.098528,0.267582
30976,121,15.3333,0.539,10000.0,-1.959757,0.007578,1.098518,0.272804
31232,122,15.3333,0.539,10000.0,-1.229987,0.010594,1.09852,0.224839
31488,123,15.3333,0.539,10000.0,-1.133067,0.00402,1.098521,0.156456
31744,124,15.3333,0.539,10000.0,-1.362913,0.001916,1.098524,0.15725
32000,125,15.3333,0.539,10000.0,1.053697,0.166965,1.098518,0.771338
32256,126,15.3333,0.539,10000.0,-0.820616,0.001942,1.098502,0.112392
32512,127,15.3333,0.539,10000.0,-0.881008,0.002314,1.098511,0.17402
32768,128,15.3333,0.539,10000.0,1.300554,0.226153,1.098525,1.029761
33024,129,15.3333,0.539,10000.0,-0.445465,0.001307,1.098497,0.042431
33280,130,15.3333,0.539,10000.0,1.314443,0.138634,1.098499,0.83783
33536,131,15.3333,0.539,10000.0,-1.157823,0.003626,1.098507,0.140854
