steps,rollout,stage,mean_return,mean_episode_length,policy_loss,value_loss,entropy,grad_norm
1024,1,1,0.0,0.0,0.0,0.307283,0.990599,0.162212
2048,2,1,0.0,0.0,-0.0,0.351519,0.990222,0.201517
3072,3,1,0.0,0.0,-0.0,0.33369,0.990991,0.170581
4096,4,1,0.0,0.0,-0.0,0.293489,0.990301,0.190634
5120,5,1,42.52,4577.0,-0.0,0.327078,0.990945,0.15713
6144,6,1,42.52,4577.0,-0.0,0.255887,0.990987,0.141049
7168,7,1,42.52,4577.0,-0.0,0.339052,0.991287,0.176135
8192,8,1,42.52,4577.0,0.0,0.307351,0.990701,0.156951
9216,9,1,42.52,4577.0,0.0,0.222635,0.991056,0.107438
10240,10,1,42.52,4577.0,-0.0,0.139813,0.991107,0.043848
11264,11,1,42.85,5290.0,0.0,0.303656,0.990777,0.165045
12288,12,1,42.85,5290.0,-0.0,0.361568,0.990561,0.204178
13312,13,1,42.85,5290.0,0.0,0.237532,0.99079,0.143246
14336,14,1,42.85,5290.0,-0.0,0.165364,0.989824,0.073896
15360,15,1,42.85,5290.0,-0.0,0.22469,0.990384,0.157325
16384,16,1,42.85,5290.0,-0.0,0.295383,0.990704,0.133479
17408,17,1,44.0733,5497.7,0.0,0.331125,0.991271,0.205498
18432,18,1,44.0733,5497.7,-0.0,0.399204,0.990979,0.18654
19456,19,1,44.0733,5497.7,0.0,0.45325,0.990726,0.219706
20480,20,1,44.0733,5497.7,-0.0,0.196006,0.991166,0.083791
21504,21,1,43.4625,5270.5,0.0,0.285944,0.990398,0.137475
22528,22,1,43.4625,5270.5,0.0,0.221118,0.990646,0.09069
23552,23,1,43.4625,5270.5,-0.0,0.207377,0.990528,0.099665
24576,24,1,43.4625,5270.5,-0.0,0.302536,0.99035,0.145452
25600,25,1,43.4625,5270.5,0.0,0.294029,0.990729,0.128784
26624,26,1,43.4625,5270.5,0.0,0.235818,0.991256,0.097061
27648,27,1,43.537,5434.0,-0.0,0.28472,0.990472,0.110771
28672,28,1,43.537,5434.0,-0.0,0.337614,0.991098,0.16656
29696,29,1,43.537,5434.0,0.0,0.266061,0.991126,0.116497
30720,30,1,43.537,5434.0,-0.0,0.309588,0.990968,0.089789
