step,rollout,stage,mean_ep_reward,mean_ep_length,mean_alt_accuracy,n_episodes,policy_loss,value_loss,entropy,clip_frac,approx_kl,elapsed_s
20480,10,1,0.6200,666.0000,1.0000,1.0000,-0.009944,0.047750,1.078780,0.086870,0.005437,36.5
40960,20,1,-1.0400,186.0000,1.0000,1.0000,0.095560,0.014722,1.042634,0.052258,0.004849,71.9
61440,30,1,0.0000,0.0000,0.0000,0.0000,-0.000330,0.023047,0.982797,0.000000,0.000216,106.5
81920,40,1,0.0000,0.0000,0.0000,0.0000,-0.000052,0.008466,0.866178,0.000000,0.000063,143.0
102400,50,1,0.0000,0.0000,0.0000,0.0000,-0.000327,0.008362,0.808069,0.015503,0.000965,178.0
122880,60,1,0.0000,0.0000,0.0000,0.0000,-0.000403,0.006768,0.801611,0.015137,0.001841,213.8
143360,70,1,0.0000,0.0000,0.0000,0.0000,0.000400,0.000046,0.680927,0.000000,0.000040,248.3
163840,80,1,0.0000,0.0000,0.0000,0.0000,0.000108,0.000008,0.698750,0.000000,0.000553,283.5
184320,90,1,0.0000,0.0000,0.0000,0.0000,0.000167,0.000024,0.695945,0.000000,0.000213,318.9
204800,100,1,0.0000,0.0000,0.0000,0.0000,-0.000394,0.000177,0.691309,0.000000,0.000593,354.4
225280,110,1,0.0000,0.0000,0.0000,0.0000,-0.000620,0.000031,0.693621,0.000122,0.000207,389.0
245760,120,1,0.0000,0.0000,0.0000,0.0000,-0.000873,0.007727,0.682650,0.001831,0.000084,423.4
266240,130,1,0.0000,0.0000,0.0000,0.0000,-0.000126,0.000004,0.670346,0.000000,0.000058,460.3
286720,140,1,0.0000,0.0000,0.0000,0.0000,-0.000205,0.000016,0.656002,0.000000,0.000004,495.7
307200,150,1,0.0000,0.0000,0.0000,0.0000,-0.000866,0.007667,0.709428,0.000000,0.000062,531.0
327680,160,1,0.0000,0.0000,0.0000,0.0000,-0.000728,0.000026,0.689994,0.000000,0.000057,566.1
348160,170,1,0.0000,0.0000,0.0000,0.0000,-0.000316,0.000048,0.654737,0.000000,0.000582,1182.8
368640,180,1,0.0000,0.0000,0.0000,0.0000,0.000147,0.000009,0.671305,0.000000,0.000445,1734.9
389120,190,1,0.0000,2026.0000,0.0000,1.0000,-1.394912,0.006279,0.726020,0.153409,0.035551,1773.6
409600,200,1,0.0000,1546.0000,1.0000,1.0000,-0.125806,0.000136,0.595962,0.000498,0.000956,1818.2
430080,210,1,0.0500,1066.0000,0.0000,1.0000,-0.029404,0.000029,0.596992,0.022203,0.004264,1853.0
450560,220,1,0.0000,586.0000,1.0000,1.0000,0.024824,0.005470,0.610989,0.012729,0.002201,1888.6
471040,230,1,0.0000,106.0000,0.0000,1.0000,-0.122602,0.000082,0.616381,0.004699,0.010288,1923.4
491520,240,1,0.0000,0.0000,0.0000,0.0000,0.000430,0.000020,0.551090,0.000000,0.000109,1958.3
